iter	RMSE
0	14.73090151
1	14.35443585
2	13.987285
3	13.6211664
4	13.30770646
5	13.0312833
6	12.73298195
7	12.45282088
8	12.17348135
9	11.8829897
10	11.5966563
11	11.36238461
12	11.14945091
13	10.90901375
14	10.67038986
15	10.43221772
16	10.21936797
17	10.02605597
18	9.814400009
19	9.635037804
20	9.481594842
21	9.29991887
22	9.12662202
23	8.974027749
24	8.82219493
25	8.685509949
26	8.551667702
27	8.42713068
28	8.302086762
29	8.186519803
30	8.085459147
31	7.962070995
32	7.856662063
33	7.758019403
34	7.655838876
35	7.564035653
36	7.471647129
37	7.382780064
38	7.295711158
39	7.215114008
40	7.141556811
41	7.069007282
42	7.000086773
43	6.93390972
44	6.866391462
45	6.805772657
46	6.74008272
47	6.684005923
48	6.62471856
49	6.565403895
50	6.514693068
51	6.461155504
52	6.417720615
53	6.371138949
54	6.323669189
55	6.28817106
56	6.249731871
57	6.217105086
58	6.178514717
59	6.146862904
60	6.116982101
61	6.08370831
62	6.056116552
63	6.025342233
64	6.002103655
65	5.974115949
66	5.951815498
67	5.929203565
68	5.906661339
69	5.886067082
70	5.863695007
71	5.844169572
72	5.825456552
73	5.801859391
74	5.78234526
75	5.762763614
76	5.74670877
77	5.731365725
78	5.717229301
79	5.695419911
80	5.67952614
81	5.667789744
82	5.652494061
83	5.640795394
84	5.623105013
85	5.605370691
86	5.588357209
87	5.579092338
88	5.568707716
89	5.556108342
90	5.540001385
91	5.529790761
92	5.516344653
93	5.503293174
94	5.49396721
95	5.484890243
96	5.476493703
97	5.469697635
98	5.460829409
99	5.451644488
100	5.44296707
101	5.435261224
102	5.421579646
103	5.411761091
104	5.399552153
105	5.389263147
106	5.381773075
107	5.374264726
108	5.366825535
109	5.356494033
110	5.348278698
111	5.342335777
112	5.335668812
113	5.328634202
114	5.321333586
115	5.31455227
116	5.308896429
117	5.302725323
118	5.295793941
119	5.290539305
120	5.287853707
121	5.277123682
122	5.27076587
123	5.264129227
124	5.259250402
125	5.253233103
126	5.248797402
127	5.241193642
128	5.238959953
129	5.230466763
130	5.223797919
131	5.22078182
132	5.21276524
133	5.210063095
134	5.203102695
135	5.198848712
136	5.193727802
137	5.190481376
138	5.187128762
139	5.183502781
140	5.179493613
141	5.17374466
142	5.168149823
143	5.163806538
144	5.15580082
145	5.150206128
146	5.14615679
147	5.141171707
148	5.136601847
149	5.133798615
150	5.131493673
151	5.125467342
152	5.120717219
153	5.118520351
154	5.114511324
155	5.10655571
156	5.099194942
157	5.096416858
158	5.092954493
159	5.085657231
160	5.083100778
161	5.080738175
162	5.075708775
163	5.072636797
164	5.070315651
165	5.065754177
166	5.05660543
167	5.049342604
168	5.041299976
169	5.037064424
170	5.029832771
171	5.02859561
172	5.022622403
173	5.01484239
174	5.00859872
175	5.001994415
176	4.998219917
177	4.992503595
178	4.987545391
179	4.98140712
180	4.979833165
181	4.976124761
182	4.970912589
183	4.968653645
184	4.965847843
185	4.960372977
186	4.955089198
187	4.9524994
188	4.94888068
189	4.946881176
190	4.94090993
191	4.936376484
192	4.932227137
193	4.927304906
194	4.923568364
195	4.916833305
196	4.912239139
197	4.908684727
198	4.905577754
199	4.901405615
200	4.895385011
201	4.891787638
202	4.888634351
203	4.887480675
204	4.885190117
205	4.882064112
206	4.877358248
207	4.872192442
208	4.868146497
209	4.864933467
210	4.860355365
211	4.857196985
212	4.849322038
213	4.845764034
214	4.842528523
215	4.838920731
216	4.834212359
217	4.829914437
218	4.828820205
219	4.826432003
220	4.823672303
221	4.820146379
222	4.814447338
223	4.808966846
224	4.805521175
225	4.804614763
226	4.799452546
227	4.798184847
228	4.794969454
229	4.789228112
230	4.785291074
231	4.781606238
232	4.77823786
233	4.773032812
234	4.769734722
235	4.765992837
236	4.761874677
237	4.759889112
238	4.756795502
239	4.754427674
240	4.753592897
241	4.750601042
242	4.749552864
243	4.744212298
244	4.742763429
245	4.738910654
246	4.734505927
247	4.730842926
248	4.725885405
249	4.721831005
250	4.719264794
251	4.712795021
252	4.708028422
253	4.70553582
254	4.704567185
255	4.701347855
256	4.697545287
257	4.695205122
258	4.690712399
259	4.687104596
260	4.684081892
261	4.678151092
262	4.672588548
263	4.666043185
264	4.664782509
265	4.661852989
266	4.659540859
267	4.655625001
268	4.654743308
269	4.652272972
270	4.65123725
271	4.642680311
272	4.63760363
273	4.631558596
274	4.62962843
275	4.624722728
276	4.620718765
277	4.617148019
278	4.612277492
279	4.609927179
280	4.606786677
281	4.602575247
282	4.596574189
283	4.590458152
284	4.588026642
285	4.583789831
286	4.580800169
287	4.576267534
288	4.572067433
289	4.568860103
290	4.56748704
291	4.563458678
292	4.562258844
293	4.557872568
294	4.552289181
295	4.549115192
296	4.547044959
297	4.543529959
298	4.537244631
299	4.533000499
300	4.528651866
301	4.526953933
302	4.520433114
303	4.517744093
304	4.513343619
305	4.509999381
306	4.505140946
307	4.503410336
308	4.503046921
309	4.500213334
310	4.496263756
311	4.495609404
312	4.492455152
313	4.488329712
314	4.485478043
315	4.480560768
316	4.474990188
317	4.469447888
318	4.463854325
319	4.459114779
320	4.456874259
321	4.454871521
322	4.453834919
323	4.450658742
324	4.448482981
325	4.445382158
326	4.445089002
327	4.441884549
328	4.435944901
329	4.433168989
330	4.429333346
331	4.423666439
332	4.420120477
333	4.414922418
334	4.413379615
335	4.411403872
336	4.407105195
337	4.404363153
338	4.402295474
339	4.40041414
340	4.397930469
341	4.396440331
342	4.390775461
343	4.385848629
344	4.384970515
345	4.383447406
346	4.382201782
347	4.381579186
348	4.380713351
349	4.378804599
350	4.372758613
351	4.367109765
352	4.364088451
353	4.361196154
354	4.357245041
355	4.355466399
356	4.353490165
357	4.350361869
358	4.348005755
359	4.341963985
360	4.339935186
361	4.337792135
362	4.332425775
363	4.330698964
364	4.324794841
365	4.32378651
366	4.320501027
367	4.315155429
368	4.31204894
369	4.311401067
370	4.309981701
371	4.304111619
372	4.298649526
373	4.298153491
374	4.29443262
375	4.290589538
376	4.285460899
377	4.28033404
378	4.276068041
379	4.27414171
380	4.270313256
381	4.266738591
382	4.263274194
383	4.257399827
384	4.253610219
385	4.250543138
386	4.248205765
387	4.246420273
388	4.245100521
389	4.243756672
390	4.239829139
391	4.239556067
392	4.233496828
393	4.231969928
394	4.229241338
395	4.226879706
396	4.224988954
397	4.219849105
398	4.215148665
399	4.212766613
400	4.212220086
401	4.208735163
402	4.206797258
403	4.201599019
404	4.198301859
405	4.194668796
406	4.192504665
407	4.190364432
408	4.186619413
409	4.186019883
410	4.184398625
411	4.181337694
412	4.179849875
413	4.177623366
414	4.173543302
415	4.173302517
416	4.169033198
417	4.168868153
418	4.164360404
419	4.163731337
420	4.160599769
421	4.157375468
422	4.156711243
423	4.153964282
424	4.152799317
425	4.150061916
426	4.148274954
427	4.145018565
428	4.144466548
429	4.142142496
430	4.136289207
431	4.133287759
432	4.129970172
433	4.125876651
434	4.123886672
435	4.121734132
436	4.119428019
437	4.115537133
438	4.112372966
439	4.110780209
440	4.108682375
441	4.105159682
442	4.099545246
443	4.095755505
444	4.092972722
445	4.08864924
446	4.084855315
447	4.083117509
448	4.079299721
449	4.077742576
450	4.075947084
451	4.073938271
452	4.070500404
453	4.067696952
454	4.065898112
455	4.062771845
456	4.062187894
457	4.058311965
458	4.055968157
459	4.053475636
460	4.04928095
461	4.046693813
462	4.043889338
463	4.040011137
464	4.036222161
465	4.034778878
466	4.032959826
467	4.031784992
468	4.027003669
469	4.023572233
470	4.022943394
471	4.020087018
472	4.018647504
473	4.014592469
474	4.011075569
475	4.008160489
476	4.006382959
477	4.001221911
478	3.99750995
479	3.994517206
480	3.990582685
481	3.988037142
482	3.983571397
483	3.982323823
484	3.978856882
485	3.977259315
486	3.973638209
487	3.972101065
488	3.970548193
489	3.967669505
490	3.964769066
491	3.963355547
492	3.961942369
493	3.961217991
494	3.959237964
495	3.954521129
496	3.953795483
497	3.951416163
498	3.94805468
499	3.946498027
500	3.943170605
501	3.940492391
502	3.93712755
503	3.935873956
504	3.932954471
505	3.930609563
506	3.92960653
507	3.924028031
508	3.922121637
509	3.918370896
510	3.915165697
511	3.911662483
512	3.907901268
513	3.906926173
514	3.906211229
515	3.904280224
516	3.903777609
517	3.902324167
518	3.900486204
519	3.895153744
520	3.891984252
521	3.890113507
522	3.886492321
523	3.883694107
524	3.881969318
525	3.881643881
526	3.878070897
527	3.877423338
528	3.875003468
529	3.870677026
530	3.867515176
531	3.865778386
532	3.861629058
533	3.859416988
534	3.858065618
535	3.856560138
536	3.855406047
537	3.852126182
538	3.850676556
539	3.848715945
540	3.845136835
541	3.843500513
542	3.838884619
543	3.838425065
544	3.834372606
545	3.832135792
546	3.830326838
547	3.827408677
548	3.825159098
549	3.821977577
550	3.817511861
551	3.814475264
552	3.811969794
553	3.809796983
554	3.808264498
555	3.805999998
556	3.804700544
557	3.800670306
558	3.795730815
559	3.794576463
560	3.791285892
561	3.789562205
562	3.785903935
563	3.782810627
564	3.779968016
565	3.77905435
566	3.775935969
567	3.773842479
568	3.769971607
569	3.768159979
570	3.765928715
571	3.763667422
572	3.762268103
573	3.760033035
574	3.755670204
575	3.754054948
576	3.75230296
577	3.750209601
578	3.747629404
579	3.74722788
580	3.746889387
581	3.745698922
582	3.742375482
583	3.740817145
584	3.738168761
585	3.734643166
586	3.729754001
587	3.727465593
588	3.726888919
589	3.724177604
590	3.7212047
591	3.718346842
592	3.717063573
593	3.714481543
594	3.713702067
595	3.709696222
596	3.707557715
597	3.705598752
598	3.704171798
599	3.703226814
600	3.700209496
601	3.69773405
602	3.695596764
603	3.692391506
604	3.691066704
605	3.690485321
606	3.68960608
607	3.688227887
608	3.685727208
609	3.682418124
610	3.681105546
611	3.677754853
612	3.674532481
613	3.671645401
614	3.668811549
615	3.667129079
616	3.663424119
617	3.663046564
618	3.661398994
619	3.661117753
620	3.658115828
621	3.656757172
622	3.655850414
623	3.653845889
624	3.650661044
625	3.649549877
626	3.64741815
627	3.646126483
628	3.643117825
629	3.642219135
630	3.641341872
631	3.640294761
632	3.636542983
633	3.636198957
634	3.634283086
635	3.630976795
636	3.630444563
637	3.629354366
638	3.627277732
639	3.626899897
640	3.626015051
641	3.624044553
642	3.622732691
643	3.621546249
644	3.620160831
645	3.619497309
646	3.618401104
